txn_id,txn_date,period,service_period,account_code,account_name,account_type,counterparty_type,counterparty_id,counterparty_name,counterparty_raw,product_id,product_name,quantity,unit_price,amount,currency,fx_rate,amount_usd,invoice_id,txn_kind,memo,segment,region,industry,plan_tier,contract_type
E0000003,2023-01-02,2023-01,2023-01,5000,Hosting & Infrastructure,cogs,vendor,V0003,Snowflake Computing,snowflake.com,Data,Data,1.0,20670.89,-20670.89,USD,1.0,-20670.89,BILL-202301-V0003,recurring_spend,Snowflake Computing — monthly,,,,,
E0000005,2023-01-02,2023-01,2023-01,5010,Payment Processing,cogs,vendor,V0005,Stripe,STRIPE,Payments,Payments,1.0,16587.91,-16587.91,USD,1.0,-16587.91,BILL-202301-V0005,recurring_spend,Stripe — monthly,,,,,
E0000010,2023-01-02,2023-01,2023-01,6010,Contractors,opex,vendor,V0009,Andela Engineering,andela.com,Contractors,Contractors,1.0,18818.02,-18818.02,USD,1.0,-18818.02,BILL-202301-V0009,variable_spend,Andela Engineering — project invoice,,,,,
E0000040,2023-01-02,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-OPEN,OpenAI,"OPENAI, LLC",CardSpend,Corporate card,1.0,611.09,-611.09,USD,1.0,-611.09,CARD-202301,card_spend,Corporate card — OpenAI,,,,,
E0000050,2023-01-02,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-UNIT,United Airlines,UNITED 0162345678,CardSpend,Corporate card,1.0,215.51,-215.51,USD,1.0,-215.51,CARD-202301,card_spend,Corporate card — United Airlines,,,,,
E0000087,2023-01-02,2023-01,2023-01,6060,Facilities,opex,vendor,CARD-AMAZ,Amazon Business,AMZN BUSINESS,CardSpend,Corporate card,1.0,496.23,-496.23,USD,1.0,-496.23,CARD-202301,card_spend,Corporate card — Amazon Business,,,,,
E0000103,2023-01-02,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-OPEN,OpenAI,OPENAI *API,CardSpend,Corporate card,1.0,1129.61,-1129.61,USD,1.0,-1129.61,CARD-202301,card_spend,Corporate card — OpenAI,,,,,
T0000208,2023-01-02,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00205,Ember Capital LLC,Ember Capital LLC,API,Overage,14496.0,0.02,311.41,EUR,1.0741,289.92,INV-202301-00205,usage,Metered API overage,Mid-Market,EMEA,Fintech,Pro,monthly
T0000229,2023-01-02,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00240,Quarry Systems Co,Quarry Systems Co,API,Overage,35677.0,0.02,713.54,USD,1.0,713.54,INV-202301-00240,usage,Metered API overage,Enterprise,NA,Healthcare,Starter,annual
T0000312,2023-01-02,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00332,Cobalt Solutions PLC,Cobalt Solutions PLC,API,Overage,509.0,0.02,10.17,USD,1.0,10.17,INV-202301-00332,usage,Metered API overage,SMB,NA,Education,Starter,monthly
